"Model","Classes","LogLik","AIC","AWE","BIC","CAIC","CLC","KIC","SABIC","ICL","Entropy","prob_min","prob_max","Warnings"
2,1,-20290.3234734875,40664.6469469751,41264.6713175391,40860.6591322571,40902.6591322571,40582.6469469751,40709.6469469751,40727.2876058745,-40860.6591322571,1,1,1,NA
2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning"
2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning"
2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning"
6,1,-16849.1139559136,34202.2279118273,37812.3741352116,35378.3010235194,35630.3010235194,33700.2279118273,34457.2279118273,34578.0718652238,-35378.3010235194,1,1,1,NA
6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning"
6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning"
6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warning"
1,1,-20290.3234734875,40664.6469469751,41264.6713175391,40860.6591322571,40902.6591322571,40582.6469469751,40709.6469469751,40727.2876058745,-40860.6591322571,1,1,1,NA
1,2,-18180.8413064436,36489.6826128871,37405.2090671273,36788.3678476026,36852.3678476026,36363.5266280779,36556.6826128871,36585.1350454958,-36830.7252125617,0.922007595389838,0.966695384488485,0.983950266427935,NA
1,3,-17594.7100713368,35361.4201426735,36592.3253056474,35762.7784268224,35848.7784268224,35191.2315479975,35450.4201426735,35489.6843489914,-35842.1713218882,0.90570266199034,0.94519198167716,0.968930550335588,NA
1,4,-17370.742603371,34957.4852067419,36503.7803525282,35461.5165403243,35569.5165403243,34743.2527281204,35068.4852067419,35118.561186769,-35581.6644237151,0.883760689235854,0.902749011061471,0.963819010834811,NA
3,1,-16849.1139559136,34202.2279118273,37812.3741352116,35378.3010235194,35630.3010235194,33700.2279118273,34457.2279118273,34578.0718652238,-35378.3010235194,1,1,1,NA
3,2,-16693.0308337977,33934.0616675953,37859.8032039867,35212.8078287209,35486.8078287209,33387.8124534552,34211.0616675953,34342.7173947011,-35283.8590183018,0.875392929947484,0.931179354346444,0.976287991813555,NA
3,3,-16623.7752735664,33839.5505471328,38080.5128858489,35220.9697576919,35516.9697576919,33249.4266295349,34138.5505471328,34281.0180479478,-35266.0257472285,0.938041201024895,0.853319041669013,0.994859077987918,NA
3,4,-16602.6636298445,33841.327259689,38397.7925964929,35325.4195196815,35643.4195196815,33207.0464428701,34162.327259689,34315.6065342132,-35468.9256952058,0.859591590546469,0.851463334738652,0.966283896387435,NA
